目錄編號,Format,Common Name,Scientific Name,背景鳥種,Recordist,日期,Year,Month,Day,Time,Country,Country-State-County,State,County,地點,Latitude,Longitude,性別與年齡,行為,回播,Captive,Collected,Specimen ID,Home Archive Catalog Number,錄音或照相,麥克風,配件,夥伴機構,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),備註,觀察細節,Parent Species,eBird Species Code,分類類別,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
519834891,照片,東亞秧雞,Rallus indicus,,志民 蘇,2023-01-01,2023,1,1,633,Taiwan,TW-KIN,Kinmen County,,金門--烈嶼陵水湖(Kinmen--Lieyu Lingshui Lake),24.4208641,118.2288659,"",,Unspecified,"","",,,,,,,S125167163,"",,,,,Rallus indicus,bncrai1,Species,5284,,3.50,2,,1571,2357
519834931,照片,蒼翡翠,Halcyon smyrnensis,,志民 蘇,2023-01-01,2023,1,1,633,Taiwan,TW-KIN,Kinmen County,,金門--烈嶼陵水湖(Kinmen--Lieyu Lingshui Lake),24.4208641,118.2288659,"",,Unspecified,"","",,,,,,,S125167163,"",,,,,Halcyon smyrnensis,whtkin2,Species,9795,,.00,0,,2525,3788
519834961,照片,褐翅鴉鵑,Centropus sinensis,,志民 蘇,2023-01-01,2023,1,1,633,Taiwan,TW-KIN,Kinmen County,,金門--烈嶼陵水湖(Kinmen--Lieyu Lingshui Lake),24.4208641,118.2288659,"",,Unspecified,"","",,,,,,,S125167163,"",,,,,Centropus sinensis,grecou1,Species,3116,,.00,0,,2149,3224
519834981,照片,攀雀,Remiz consobrinus,,志民 蘇,2023-01-01,2023,1,1,633,Taiwan,TW-KIN,Kinmen County,,金門--烈嶼陵水湖(Kinmen--Lieyu Lingshui Lake),24.4208641,118.2288659,"",,Unspecified,"","",,,,,,,S125167163,"",,,,,Remiz consobrinus,chptit1,Species,21898,,1.00,1,,1180,1771
519835061,照片,葦鵐,Emberiza pallasi,,志民 蘇,2023-01-01,2023,1,1,633,Taiwan,TW-KIN,Kinmen County,,金門--烈嶼陵水湖(Kinmen--Lieyu Lingshui Lake),24.4208641,118.2288659,"",,Unspecified,"","",,,,,,,S125167163,"",,,,持續,Emberiza pallasi,palbun,Species,32272,,.00,0,,838,1257
519835071,照片,葦鵐,Emberiza pallasi,,志民 蘇,2023-01-01,2023,1,1,633,Taiwan,TW-KIN,Kinmen County,,金門--烈嶼陵水湖(Kinmen--Lieyu Lingshui Lake),24.4208641,118.2288659,"","",Unspecified,"","",,,,,,,S125167163,"",,,,持續,Emberiza pallasi,palbun,Species,32272,,.00,0,Field notes/sketch,901,1351
519835081,照片,葦鵐,Emberiza pallasi,,志民 蘇,2023-01-01,2023,1,1,633,Taiwan,TW-KIN,Kinmen County,,金門--烈嶼陵水湖(Kinmen--Lieyu Lingshui Lake),24.4208641,118.2288659,"",,Unspecified,"","",,,,,,,S125167163,"",,,,持續,Emberiza pallasi,palbun,Species,32272,,.00,0,,925,1387
519835091,照片,葦鵐,Emberiza pallasi,,志民 蘇,2023-01-01,2023,1,1,633,Taiwan,TW-KIN,Kinmen County,,金門--烈嶼陵水湖(Kinmen--Lieyu Lingshui Lake),24.4208641,118.2288659,"",,Unspecified,"","",,,,,,,S125167163,"",,,,持續,Emberiza pallasi,palbun,Species,32272,,.00,0,,980,1470
518864781,照片,葦鵐,Emberiza pallasi,,Ting-Wei (廷維) HUNG (洪),2023-01-01,2023,1,1,641,Taiwan,TW-KIN,Kinmen County,,金門--烈嶼陵水湖(Kinmen--Lieyu Lingshui Lake),24.4208641,118.2288659,"",,Unspecified,"","",,,,,,,S125013994,"",,,,Photo,Emberiza pallasi,palbun,Species,32272,,.00,0,,1246,1869
518864791,照片,白琵鷺,Platalea leucorodia,,Ting-Wei (廷維) HUNG (洪),2023-01-01,2023,1,1,641,Taiwan,TW-KIN,Kinmen County,,金門--烈嶼陵水湖(Kinmen--Lieyu Lingshui Lake),24.4208641,118.2288659,"",,Unspecified,"","",,,,,,,S125013994,"",,,,Total count,Platalea leucorodia,eurspo1,Species,7605,,.00,0,,2667,4000
